conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,tokens_context,inset_score,inset_sentiment,matched_words
2.06e+18,2026-06-15T02:46:57.000Z,0,"@chells_yaa @ShopeeCare @ShopeeID Samaa bgtt bayangin dr tgl 5, dah 10 hari ga ada update posisi nya dimana, mana brg ny mau di pake buat konseran 😩😩😩😩 https://t.co/T83T3W1TZk",2.07e+18,https://pbs.twimg.com/media/HK0n8RgaIAAYf_N.jpg,chells_yaa,in,,0,1,0,https://x.com/hi_bibian/status/2066351725896990954,1361515278.0,hi_bibian,samaa bgtt bayangkan dari tanggal 5 sudah 10 hari tidak_ada pembaruan posisi nya dimana mana brg ny mau di pakai buat konseran,"['samaa', 'bgtt', 'bayangkan', 'dari', 'tanggal', 'sudah', '10', 'hari', 'tidak ada', 'pembaruan', 'posisi', 'nya', 'dimana', 'mana', 'brg', 'ny', 'mau', 'di', 'pakai', 'buat', 'konseran']",-5.0,Negative,6
2.07e+18,2026-06-15T02:24:11.000Z,0,cdm skrg @ShopeeCare,2.07e+18,,,in,,0,2,0,https://x.com/KONlMEX/status/2066345996540580147,1.36e+18,KONlMEX,chat dm sekarang,"['chat', 'dm', 'sekarang']",3.0,Positive,1
2.06e+18,2026-06-15T00:49:04.000Z,0,@chells_yaa @ShopeeCare @ShopeeID kak mjb paketnya udah ada pergerakan belum kak? punyaku juga dari tgl 30 ga ada update sampai skrg 🥲,2.07e+18,,chells_yaa,in,,0,1,0,https://x.com/arlckino/status/2066322059849052359,1.77e+18,arlckino,kakak mjb paketnya sudah ada pergerakan belum_kakak punyaku juga dari tanggal 30 tidak_ada pembaruan sampai sekarang,"['kakak', 'mjb', 'paketnya', 'sudah', 'ada', 'pergerakan', 'belum kakak', 'punyaku', 'juga', 'dari', 'tanggal', '30', 'tidak ada', 'pembaruan', 'sampai', 'sekarang']",-12.0,Negative,6
2.04e+18,2026-06-15T00:30:23.000Z,0,@Thege0410 @Esteres09785772 @nanaappsprem @ShopeeID @ShopeeCare @ojkindonesia iyaa kak udahh,2.07e+18,,Thege0410,in,,0,1,0,https://x.com/_trustme14/status/2066317359711989872,1.62e+18,_trustme14,iyaa kakak udahh,"['iyaa', 'kakak', 'udahh']",0.0,Neutral,0
2.07e+18,2026-06-14T22:50:56.000Z,0,@ShopeeCare dm ku blm dibales dri kmrn.,2.07e+18,,ShopeeCare,in,,0,0,0,https://x.com/2leemjen/status/2066292333994467512,1.24e+18,2leemjen,dm ku belum_dibalas dari kemarin,"['dm', 'ku', 'belum dibalas', 'dari', 'kemarin']",-3.0,Negative,1
2.07e+18,2026-06-14T22:48:55.000Z,0,@ShopeeCare cdm,2.07e+18,,ShopeeCare,und,,0,1,0,https://x.com/cejen423/status/2066291826328543556,1.55e+18,cejen423,chat dm,"['chat', 'dm']",3.0,Positive,1
2.07e+18,2026-06-14T21:15:32.000Z,0,"@Roga480 @ShopeeCare Hi kak Rogami,  maaf banget ya udah buat kakak ga nyaman. terkait kendala pesanan yang kakak alami, aku infoin kakak bisa chat aku dgn memberikan username serta memberikan nomor pesanan kakak melalui DM ke Social Media @ShopeeID /@Shopeecare ya. Stay Healthy  ^RL",2.07e+18,,Roga480,in,,0,0,0,https://x.com/ShopeeID/status/2066268324426821637,2983890506.0,ShopeeID,hi kakak rogami maaf banget ya sudah buat kakak tidak_nyaman terkait kendala pesanan yang kakak alami aku informasikan kakak bisa chat aku dengan memberikan username serta memberikan _n_o_m_o_r_ _p_e_s_a_n_a_n_ kakak _m_e_l_a_l_u_i_ _d_m_ ke social media ya stay healthy rl,"['hi', 'kakak', 'rogami', 'maaf', 'banget', 'ya', 'sudah', 'buat', 'kakak', 'tidak nyaman', 'terkait', 'kendala', 'pesanan', 'yang', 'kakak', 'alami', 'aku', 'informasikan', 'kakak', 'bisa', 'chat', 'aku', 'dengan', 'memberikan', 'username', 'serta', 'memberikan', ' n o m o r ', ' p e s a n a n ', 'kakak', ' m e l a l u i ', ' d m ', 'ke', 'social', 'media', 'ya', 'stay', 'healthy', 'rl']",-2.0,Negative,14
2.07e+18,2026-06-14T17:21:51.000Z,0,@ShopeeCare cek dm,2.07e+18,,ShopeeCare,tr,,0,2,0,https://x.com/KONlMEX/status/2066209515272589452,1.36e+18,KONlMEX,cek dm,"['cek', 'dm']",-4.0,Negative,1
2.07e+18,2026-06-14T17:05:57.000Z,1,Pernah ada yang ngalamin buka shopee food di rumah tiba tiba malah shopee nya lompat jauh banget maps nya? Padahal gak pernah pesen shopee food di daerah itu juga Gimana ni kalo belom mampu jadi super app jangan nyoba nyoba jadi super app lah udah 2x begini @ShopeeID @ShopeeCare https://t.co/WM37ZYxtFr,2.07e+18,https://pbs.twimg.com/media/HKyi9xPaQAAC5NZ.jpg,,in,,0,2,0,https://x.com/Roga480/status/2066205514527346815,1.89e+18,Roga480,pernah ada yang mengalami buka shopee food di rumah tiba tiba malah shopee nya lompat jauh banget maps nya padahal tidak_pernah memesan shopee food di daerah itu juga bagaimana ni kalau belum_mampu jadi super app jangan_mencoba mencoba jadi super app lah sudah 2x begini,"['pernah', 'ada', 'yang', 'mengalami', 'buka', 'shopee', 'food', 'di', 'rumah', 'tiba', 'tiba', 'malah', 'shopee', 'nya', 'lompat', 'jauh', 'banget', 'maps', 'nya', 'padahal', 'tidak pernah', 'memesan', 'shopee', 'food', 'di', 'daerah', 'itu', 'juga', 'bagaimana', 'ni', 'kalau', 'belum mampu', 'jadi', 'super', 'app', 'jangan mencoba', 'mencoba', 'jadi', 'super', 'app', 'lah', 'sudah', '2x', 'begini']",-28.0,Negative,15
2.07e+18,2026-06-14T16:30:46.000Z,0,"@aspriyanti86825 Haii kak aspriyanti86825
Maaf sudah bikin tidak nyaman terkait kendala yang kamu alami. Agar aku bisa bantu cek boleh infoin detail kendala kamu ke DM Social Media kita X/Twitter melalui akun @shopeeID atau @shopeecare. Sehat selalu^ON",2.07e+18,,aspriyanti86825,in,,0,1,0,https://x.com/ShopeeCare/status/2066196660989149185,3410708592.0,ShopeeCare,haii kakak aspriyanti86825 maaf sudah membuat tidak_nyaman terkait kendala yang kamu alami agar aku bisa bantu cek boleh informasikan detail kendala kamu ke dm social media kita x twitter melalui akun atau _s_e_h_a_t_ _s_e_l_a_l_u_ on,"['haii', 'kakak', 'aspriyanti86825', 'maaf', 'sudah', 'membuat', 'tidak nyaman', 'terkait', 'kendala', 'yang', 'kamu', 'alami', 'agar', 'aku', 'bisa', 'bantu', 'cek', 'boleh', 'informasikan', 'detail', 'kendala', 'kamu', 'ke', 'dm', 'social', 'media', 'kita', 'twitter', 'melalui', 'akun', 'atau', ' s e h a t ', ' s e l a l u ', 'on']",-20.0,Negative,13
