conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,tokens_context,inset_score,inset_sentiment,matched_words
2.06e+18,2026-06-15T02:46:57.000Z,0,"@chells_yaa @ShopeeCare @ShopeeID Samaa bgtt bayangin dr tgl 5, dah 10 hari ga ada update posisi nya dimana, mana brg ny mau di pake buat konseran 😩😩😩😩 https://t.co/T83T3W1TZk",2.07e+18,https://pbs.twimg.com/media/HK0n8RgaIAAYf_N.jpg,chells_yaa,in,,0,1,0,https://x.com/hi_bibian/status/2066351725896990954,1361515278.0,hi_bibian,samaa bgtt bayangkan dari tanggal 5 sudah 10 hari tidak_ada pembaruan posisi nya dimana mana brg ny mau di pakai untuk konseran,"['samaa', 'bgtt', 'bayangkan', 'dari', 'tanggal', 'sudah', '10', 'hari', 'tidak ada', 'pembaruan', 'posisi', 'nya', 'dimana', 'mana', 'brg', 'ny', 'mau', 'di', 'pakai', 'untuk', 'konseran']",-6.0,Negative,5
2.07e+18,2026-06-15T02:24:11.000Z,0,cdm skrg @ShopeeCare,2.07e+18,,,in,,0,2,0,https://x.com/KONlMEX/status/2066345996540580147,1.36e+18,KONlMEX,chat dm sekarang,"['chat', 'dm', 'sekarang']",3.0,Positive,1
2.06e+18,2026-06-15T00:49:04.000Z,0,@chells_yaa @ShopeeCare @ShopeeID kak mjb paketnya udah ada pergerakan belum kak? punyaku juga dari tgl 30 ga ada update sampai skrg 🥲,2.07e+18,,chells_yaa,in,,0,1,0,https://x.com/arlckino/status/2066322059849052359,1.77e+18,arlckino,kakak mjb paketnya sudah ada pergerakan belum_kakak punyaku juga dari tanggal 30 tidak_ada pembaruan sampai sekarang,"['kakak', 'mjb', 'paketnya', 'sudah', 'ada', 'pergerakan', 'belum kakak', 'punyaku', 'juga', 'dari', 'tanggal', '30', 'tidak ada', 'pembaruan', 'sampai', 'sekarang']",-12.0,Negative,6
2.04e+18,2026-06-15T00:30:23.000Z,0,@Thege0410 @Esteres09785772 @nanaappsprem @ShopeeID @ShopeeCare @ojkindonesia iyaa kak udahh,2.07e+18,,Thege0410,in,,0,1,0,https://x.com/_trustme14/status/2066317359711989872,1.62e+18,_trustme14,iyaa kakak udahh,"['iyaa', 'kakak', 'udahh']",0.0,Neutral,0
2.07e+18,2026-06-14T22:50:56.000Z,0,@ShopeeCare dm ku blm dibales dri kmrn.,2.07e+18,,ShopeeCare,in,,0,0,0,https://x.com/2leemjen/status/2066292333994467512,1.24e+18,2leemjen,pesan langsung ku belum_dibales dari kemarin,"['pesan', 'langsung', 'ku', 'belum dibales', 'dari', 'kemarin']",-3.0,Negative,3
2.07e+18,2026-06-14T22:48:55.000Z,0,@ShopeeCare cdm,2.07e+18,,ShopeeCare,und,,0,1,0,https://x.com/cejen423/status/2066291826328543556,1.55e+18,cejen423,chat dm,"['chat', 'dm']",3.0,Positive,1
2.07e+18,2026-06-14T21:15:32.000Z,0,"@Roga480 @ShopeeCare Hi kak Rogami,  maaf banget ya udah buat kakak ga nyaman. terkait kendala pesanan yang kakak alami, aku infoin kakak bisa chat aku dgn memberikan username serta memberikan nomor pesanan kakak melalui DM ke Social Media @ShopeeID /@Shopeecare ya. Stay Healthy  ^RL",2.07e+18,,Roga480,in,,0,0,0,https://x.com/ShopeeID/status/2066268324426821637,2983890506.0,ShopeeID,hi kakak rogami maaf banget ya sudah untuk kakak tidak_nyaman terkait kendala pesanan yang kakak alami aku informasikan kakak bisa chat aku dengan memberikan username serta memberikan nomor pesanan kakak melalui pesan langsung ke social media ya stay healthy rl,"['hi', 'kakak', 'rogami', 'maaf', 'banget', 'ya', 'sudah', 'untuk', 'kakak', 'tidak nyaman', 'terkait', 'kendala', 'pesanan', 'yang', 'kakak', 'alami', 'aku', 'informasikan', 'kakak', 'bisa', 'chat', 'aku', 'dengan', 'memberikan', 'username', 'serta', 'memberikan', 'nomor', 'pesanan', 'kakak', 'melalui', 'pesan', 'langsung', 'ke', 'social', 'media', 'ya', 'stay', 'healthy', 'rl']",0.0,Neutral,16
2.07e+18,2026-06-14T17:21:51.000Z,0,@ShopeeCare cek dm,2.07e+18,,ShopeeCare,tr,,0,2,0,https://x.com/KONlMEX/status/2066209515272589452,1.36e+18,KONlMEX,cek pesan langsung,"['cek', 'pesan', 'langsung']",-4.0,Negative,3
2.07e+18,2026-06-14T17:05:57.000Z,1,Pernah ada yang ngalamin buka shopee food di rumah tiba tiba malah shopee nya lompat jauh banget maps nya? Padahal gak pernah pesen shopee food di daerah itu juga Gimana ni kalo belom mampu jadi super app jangan nyoba nyoba jadi super app lah udah 2x begini @ShopeeID @ShopeeCare https://t.co/WM37ZYxtFr,2.07e+18,https://pbs.twimg.com/media/HKyi9xPaQAAC5NZ.jpg,,in,,0,2,0,https://x.com/Roga480/status/2066205514527346815,1.89e+18,Roga480,pernah ada yang ngalamin buka shopee food di rumah tiba tiba malah shopee nya lompat jauh banget maps nya padahal tidak_pernah pesen shopee food di daerah itu juga bagaimana ni kalau belum_mampu jadi super app jangan_mencoba mencoba jadi super app lah sudah 2x begini,"['pernah', 'ada', 'yang', 'ngalamin', 'buka', 'shopee', 'food', 'di', 'rumah', 'tiba', 'tiba', 'malah', 'shopee', 'nya', 'lompat', 'jauh', 'banget', 'maps', 'nya', 'padahal', 'tidak pernah', 'pesen', 'shopee', 'food', 'di', 'daerah', 'itu', 'juga', 'bagaimana', 'ni', 'kalau', 'belum mampu', 'jadi', 'super', 'app', 'jangan mencoba', 'mencoba', 'jadi', 'super', 'app', 'lah', 'sudah', '2x', 'begini']",-25.0,Negative,14
2.07e+18,2026-06-14T16:30:46.000Z,0,"@aspriyanti86825 Haii kak aspriyanti86825
Maaf sudah bikin tidak nyaman terkait kendala yang kamu alami. Agar aku bisa bantu cek boleh infoin detail kendala kamu ke DM Social Media kita X/Twitter melalui akun @shopeeID atau @shopeecare. Sehat selalu^ON",2.07e+18,,aspriyanti86825,in,,0,1,0,https://x.com/ShopeeCare/status/2066196660989149185,3410708592.0,ShopeeCare,haii kakak aspriyanti86825 maaf sudah buat tidak_nyaman terkait kendala yang kamu alami agar aku bisa bantu cek boleh informasikan detail kendala kamu ke pesan langsung social media kita x twitter melalui akun atau _s_e_h_a_t_ _s_e_l_a_l_u_ on,"['haii', 'kakak', 'aspriyanti86825', 'maaf', 'sudah', 'buat', 'tidak nyaman', 'terkait', 'kendala', 'yang', 'kamu', 'alami', 'agar', 'aku', 'bisa', 'bantu', 'cek', 'boleh', 'informasikan', 'detail', 'kendala', 'kamu', 'ke', 'pesan', 'langsung', 'social', 'media', 'kita', 'twitter', 'melalui', 'akun', 'atau', ' s e h a t ', ' s e l a l u ', 'on']",-20.0,Negative,15
2.07e+18,2026-06-14T15:32:10.000Z,0,"@ShopeeCare 

Nomer pesanan
26052376HBK6U1

Username 

umarsaid592 https://t.co/e2fzH7B7IB",2.07e+18,https://pbs.twimg.com/media/HKyNfX9aQAAhjay.jpg,ShopeeCare,en,,0,1,0,https://x.com/umarsaid7227/status/2066181911660404864,2.02e+18,umarsaid7227,nomor pesanan 26052376hbk6u1 username umarsaid592,"['nomor', 'pesanan', '26052376hbk6u1', 'username', 'umarsaid592']",0.0,Neutral,0
2.07e+18,2026-06-14T14:48:59.000Z,0,@ShopeeCare minn cek dm ya,2.07e+18,,ShopeeCare,in,,0,2,0,https://x.com/chocolutch/status/2066171045808365683,1.04e+18,chocolutch,minn cek pesan langsung ya,"['minn', 'cek', 'pesan', 'langsung', 'ya']",0.0,Neutral,4
2.07e+18,2026-06-14T14:18:41.000Z,0,"kurir² lu pada jelek bgt, ga on time. @ShopeeCare",2.07e+18,,,in,,0,2,0,https://x.com/EdtzOchiro/status/2066163418248445983,1.28e+18,EdtzOchiro,kurir² kamu pada jelek banget tidak_on time,"['kurir²', 'kamu', 'pada', 'jelek', 'banget', 'tidak on', 'time']",-7.0,Negative,3
2.07e+18,2026-06-14T13:36:45.000Z,0,"@Macchiatolalala @ShopeeCare Hi kak Macchiatolalala , maaf ya terkait kendala yg kamu alami. Agar bisa aku bantu pengecekan kendala kamu, mohon menghubungi aku melalui DM Sosial media twitter Kami @ShopeeID dengan mengirimkan Detail kendala ya kak. aku tunggu ^KY",2.07e+18,,Macchiatolalala,in,,0,0,0,https://x.com/ShopeeID/status/2066152867724230738,2983890506.0,ShopeeID,hi kakak macchiatolalala maaf ya terkait kendala yang kamu alami agar bisa aku bantu pengecekan kendala kamu mohon menghubungi aku melalui pesan langsung sosial media twitter kami dengan mengirimkan detail kendala ya kakak aku tunggu kayak,"['hi', 'kakak', 'macchiatolalala', 'maaf', 'ya', 'terkait', 'kendala', 'yang', 'kamu', 'alami', 'agar', 'bisa', 'aku', 'bantu', 'pengecekan', 'kendala', 'kamu', 'mohon', 'menghubungi', 'aku', 'melalui', 'pesan', 'langsung', 'sosial', 'media', 'twitter', 'kami', 'dengan', 'mengirimkan', 'detail', 'kendala', 'ya', 'kakak', 'aku', 'tunggu', 'kayak']",-12.0,Negative,21
2.07e+18,2026-06-14T13:33:13.000Z,0,@Macchiatolalala Hi Kak Macchiatolalala mohon maaf terkait dengan kendala yang Kakak alami untuk dapat aku bantu cek boleh hubungi aku di DM X @ShopeeCare ya Kak. Terima Kasih^JK,2.07e+18,,Macchiatolalala,in,,0,0,0,https://x.com/ShopeeCare/status/2066151978259083523,3410708592.0,ShopeeCare,hi kakak macchiatolalala _m_o_h_o_n_ _m_a_a_f_ terkait dengan kendala yang kakak alami untuk dapat aku bantu cek boleh hubungi aku di pesan langsung x ya kakak _t_e_r_i_m_a_ _k_a_s_i_h_ jk,"['hi', 'kakak', 'macchiatolalala', ' m o h o n ', ' m a a f ', 'terkait', 'dengan', 'kendala', 'yang', 'kakak', 'alami', 'untuk', 'dapat', 'aku', 'bantu', 'cek', 'boleh', 'hubungi', 'aku', 'di', 'pesan', 'langsung', 'ya', 'kakak', ' t e r i m a ', ' k a s i h ', 'jk']",-16.0,Negative,13
1.82e+18,2026-06-14T13:18:09.000Z,0,@ShopeeCare CEK DM @ShopeeCare,2.07e+18,,ShopeeCare,tr,,0,2,0,https://x.com/hellowitsmie/status/2066148188168614059,1.47e+18,hellowitsmie,cek pesan langsung,"['cek', 'pesan', 'langsung']",-4.0,Negative,3
2.07e+18,2026-06-14T12:47:52.000Z,0,@ShopeeCare min cek dm,2.07e+18,,ShopeeCare,in,,0,3,0,https://x.com/httpsjawa/status/2066140565201354783,1.91e+18,httpsjawa,min cek pesan langsung,"['min', 'cek', 'pesan', 'langsung']",-4.0,Negative,3
2.07e+18,2026-06-14T12:18:17.000Z,0,@ShopeeCare @httpsjawa Min bales akuu🥺,2.07e+18,,ShopeeCare,in,,0,1,0,https://x.com/simudft_/status/2066133121360445906,1.11e+18,simudft_,min balas akuu,"['min', 'balas', 'akuu']",-3.0,Negative,1
